# Only healpixels with non-zero completeness are recorded.
# nside=128, nest=False
healpix_number,completeness
1785,1.0
1786,1.0
1906,1.0
1907,1.0
1908,1.0
2031,0.5
2032,0.3333333333333333
2033,0.5
2034,0.5
2160,0.3333333333333333
2161,0.25
2162,0.3333333333333333
2163,0.3333333333333333
2164,0.3333333333333333
2293,0.3333333333333333
2294,0.25
2295,0.2
2296,0.25
2297,0.2
2298,0.25
2431,0.25
2432,0.2
2433,0.16666666666666666
2434,0.2
2435,0.16666666666666666
2569,0.25
2570,0.16666666666666666
2571,0.2
2573,0.2
2574,0.16666666666666666
2575,0.2
2576,0.16666666666666666
2577,0.16666666666666666
2714,0.16666666666666666
2715,0.2
2716,0.16666666666666666
2717,0.16666666666666666
2719,0.16666666666666666
2720,0.16666666666666666
2721,0.16666666666666666
2722,0.14285714285714285
2863,0.16666666666666666
2864,0.16666666666666666
2865,0.14285714285714285
2866,0.14285714285714285
2867,0.25
2869,0.16666666666666666
2870,0.14285714285714285
2871,0.14285714285714285
3016,0.16666666666666666
3017,0.16666666666666666
3018,0.2
3019,0.16666666666666666
3020,0.14285714285714285
3021,0.25
3173,0.16666666666666666
3174,0.16666666666666666
3175,0.14285714285714285
3176,0.2
3177,0.14285714285714285
3178,0.2
3335,0.16666666666666666
3336,0.16666666666666666
3337,0.2
3338,0.16666666666666666
3339,0.16666666666666666
3501,0.14285714285714285
3502,0.2689857142312186
3503,0.3138166666030884
3504,0.2689857142312186
3505,0.2
3670,0.16666666666666666
3671,0.2689857142312186
3672,0.3138166666030884
3673,0.2689857142312186
3674,0.14714999993642172
3844,0.17657999992370604
3845,0.2689857142312186
3846,0.37657999992370605
3847,0.14714999993642172
3848,0.14714999993642172
4020,0.2
4021,0.3138166666030884
4022,0.2689857142312186
4023,0.17657999992370604
4024,0.14714999993642172
4025,0.14714999993642172
4026,0.14714999993642172
4201,0.14285714285714285
4202,0.37657999992370605
4203,0.3138166666030884
4204,0.3138166666030884
4205,0.44144999980926514
4206,0.12612857137407577
4207,0.14714999993642172
4208,0.16666666666666666
4386,0.14285714285714285
4387,0.16666666666666666
4388,0.3138166666030884
4389,0.2689857142312186
4390,0.37657999992370605
4391,0.29429999987284344
4392,0.3138166666030884
4393,0.16666666666666666
4394,0.16666666666666666
4395,0.14285714285714285
4575,0.16666666666666666
4576,0.14285714285714285
4577,0.2
4578,0.2689857142312186
4579,0.37657999992370605
4580,0.47072499990463257
4581,0.3138166666030884
4582,0.16666666666666666
4583,0.2
4584,0.16666666666666666
4585,0.16666666666666666
4768,0.25
4769,0.14285714285714285
4770,0.16666666666666666
4771,0.16666666666666666
4772,0.2689857142312186
4773,0.3138166666030884
4774,0.22072499990463257
4775,0.16666666666666666
4776,0.16666666666666666
4777,0.2
4778,0.14285714285714285
4779,0.2
4966,0.16666666666666666
4967,0.16666666666666666
4968,0.16666666666666666
4969,0.16666666666666666
4970,0.2
4972,0.2
4973,0.14285714285714285
4974,0.16666666666666666
