# Only healpixels with non-zero completeness are recorded.
# nside=128, nest=False
healpix_number,completeness
1237,0.325300008058548
1238,0.325300008058548
1239,0.325300008058548
1334,0.2750000059604645
1335,0.2750000059604645
1338,0.325300008058548
1339,0.325300008058548
1340,0.325300008058548
1341,0.325300008058548
1344,1.0
1345,1.0
1353,1.0
1354,1.0
1439,0.2750000059604645
1440,0.2750000059604645
1441,0.2750000059604645
1443,0.325300008058548
1444,0.325300008058548
1445,0.325300008058548
1446,0.325300008058548
1447,0.325300008058548
1449,1.0
1450,1.0
1451,1.0
1452,1.0
1458,1.0
1459,1.0
1460,1.0
1461,1.0
1547,0.2750000059604645
1548,0.2750000059604645
1549,0.2750000059604645
1550,0.2750000059604645
1551,0.2750000059604645
1553,0.325300008058548
1554,0.325300008058548
1555,0.325300008058548
1556,0.325300008058548
1557,0.325300008058548
1558,1.0
1559,1.0
1560,1.0
1561,1.0
1562,1.0
1568,1.0
1569,1.0
1570,1.0
1571,1.0
1572,1.0
1660,0.2750000059604645
1661,0.2750000059604645
1662,0.2750000059604645
1663,0.2750000059604645
1664,0.2750000059604645
1665,0.2750000059604645
1666,0.325300008058548
1667,0.325300008058548
1668,0.325300008058548
1669,0.325300008058548
1670,0.325300008058548
1671,0.325300008058548
1672,1.0
1673,1.0
1674,1.0
1675,1.0
1676,1.0
1682,1.0
1683,1.0
1684,1.0
1685,1.0
1686,1.0
1775,1.0
1778,0.2750000059604645
1779,0.2750000059604645
1780,0.2750000059604645
1781,0.2750000059604645
1782,0.2750000059604645
1784,0.325300008058548
1785,0.325300008058548
1786,0.325300008058548
1787,0.325300008058548
1788,0.325300008058548
1789,1.0
1790,1.0
1791,1.0
1792,1.0
1793,1.0
1794,1.0
1800,1.0
1801,1.0
1802,1.0
1803,1.0
1804,1.0
1895,1.0
1896,1.0
1897,1.0
1898,1.0
1899,0.2750000059604645
1900,0.2750000059604645
1901,0.2750000059604645
1902,0.2750000059604645
1903,0.2750000059604645
1904,0.2750000059604645
1905,0.325300008058548
1906,0.325300008058548
1907,0.325300008058548
1908,0.325300008058548
1909,0.325300008058548
1911,1.0
1912,1.0
1913,1.0
1914,1.0
1915,1.0
1916,1.0
1922,1.0
1923,1.0
1924,1.0
1925,1.0
1926,1.0
2019,1.0
2020,1.0
2021,1.0
2022,1.0
2023,1.0
2025,0.2750000059604645
2026,0.2750000059604645
2027,0.2750000059604645
2028,0.2750000059604645
2029,0.2750000059604645
2031,0.325300008058548
2032,0.325300008058548
2033,0.325300008058548
2034,0.325300008058548
2037,1.0
2038,1.0
2039,1.0
2040,1.0
2041,1.0
2048,1.0
2049,1.0
2050,1.0
2051,1.0
2052,1.0
2123,0.007199999876320362
2148,1.0
2149,1.0
2150,1.0
2151,1.0
2152,1.0
2153,1.0
2154,0.2750000059604645
2155,0.2750000059604645
2156,0.2750000059604645
2157,0.2750000059604645
2158,0.2750000059604645
2159,0.382999986410141
2160,0.382999986410141
2161,0.382999986410141
2162,0.325300008058548
2163,0.325300008058548
2165,0.5407000184059143
2166,0.5407000184059143
2167,1.0
2168,1.0
2169,1.0
2170,1.0
2171,1.0
2178,1.0
2179,1.0
2180,1.0
2181,1.0
2182,1.0
2183,1.0
2184,1.0
2254,0.007199999876320362
2255,0.007199999876320362
2256,0.007199999876320362
2257,0.007199999876320362
2281,1.0
2282,1.0
2283,1.0
2284,1.0
2285,1.0
2286,1.0
2288,0.2750000059604645
2289,0.2750000059604645
2290,0.2750000059604645
2292,0.382999986410141
2293,0.382999986410141
2294,0.382999986410141
2295,0.382999986410141
2297,0.5407000184059143
2298,0.5407000184059143
2299,0.5407000184059143
2300,0.5407000184059143
2302,1.0
2303,1.0
